date,customer_id,customer_name,salesperson,product,quantity,unit_price
2022-03-07,550,Kendra Barton,Nolo,Smartwatch,4,200
2023-04-28,474,John Ford,Edmund,Tablet,4,900
2019-12-09,877,David Baker,Andiswa,Desktop Computer,1,1200
2023-01-18,554,Julie Mueller,Buhari,Tablet,2,900
2019-05-17,498,Doris Freeman MD,Nolo,Digital Camera,4,780
2020-07-07,169,Rodney Curtis,Mbali,Laptop,4,1000
2022-01-18,803,Lisa Calderon,Nolo,Wireless Earbuds,4,200
2019-12-29,749,Meagan Hill,Andiswa,Printer,2,300
2020-04-11,223,Bruce Meadows,Buhari,Smart Home Hub,5,200
2019-02-07,322,Penny Murphy,Buhari,Smartphone,5,760
2019-09-02,942,Dr. Mitchell Garcia,Andiswa,Headphones,1,50
2022-09-08,83,Dawn Hayes MD,Oludare,,5,
2021-08-22,883,Marvin Macdonald,Edmund,E-reader,1,120
2019-11-14,584,Richard Martin,Edmund,Smart Home Hub,5,200
2019-04-08,84,Sherry Cochran,Mbali,Smart Home Hub,5,200
2023-11-09,958,Shannon Arias,James,Digital Camera,3,780
2023-09-24,406,Jaime Hernandez,Oludare,Wireless Earbuds,4,200
2019-04-22,770,Isaiah Greene,Segun,Laptop,4,1000
2019-06-15,577,Matthew Long,Segun,Tablet,5,900
2023-04-14,272,Sandra Hobbs,Oludare,Portable Speaker,1,230
2020-09-26,379,Janice Harris,James,Headphones,4,50
2020-11-29,721,Curtis Robinson,James,Drone,5,1300
2023-06-11,837,Robert Jones,Andiswa,Wireless Earbuds,1,200
2021-03-20,138,Dawn Brock,James,Desktop Computer,1,1200
2022-02-15,160,Bobby Knight,James,Wireless Earbuds,5,200
2021-12-07,352,Anthony Davidson,Edmund,Gaming Console,5,987
2022-08-20,928,Tammy Lee,Buhari,Tablet,4,900
2022-07-30,46,Angela Lewis,Buhari,VR Headset,2,500
2023-02-13,269,Valerie Hernandez,Oludare,Smart TV,5,700
2023-02-17,575,Daniel Solis,Buhari,Desktop Computer,1,1200
2023-06-29,708,Kayla Clark,Oludare,Bluetooth Keyboard,1,100
2020-01-31,597,Leslie Brock,Andiswa,,4,
2022-02-22,316,Michael Hart,Zolile,Smartphone,3,760
2023-09-10,256,Jared Howe,Segun,Portable Speaker,5,230
2021-01-03,417,Justin Brown,Oludare,Fitness Tracker,2,430
2021-11-15,831,Laura Reyes,Oludare,External Hard Drive,1,120
2022-05-16,947,Julia Lawrence,Zolile,External Hard Drive,2,120
2021-04-14,807,Gregory Hall,Segun,E-reader,1,120
2022-09-23,228,Kelsey Flowers,Edmund,Smart TV,3,700
2021-07-21,815,Matthew Cooper,Edmund,Fitness Tracker,1,430
2019-12-01,409,Michael Galloway,Zolile,Gaming Console,1,987
2021-02-03,286,Shawn Arellano,Zolile,Robot Vacuum Cleaner,4,250
2019-06-10,864,Jaime Wilcox,Andiswa,VR Headset,1,500
2020-10-27,994,Dr. Tina Castro,James,Headphones,5,50
2022-04-22,272,Sandra Hobbs,Buhari,Desktop Computer,5,1200
2021-02-20,747,Carol Powell,Zolile,External Hard Drive,5,120
2020-06-08,119,Barbara Young,Mbali,Smart Home Hub,2,200
2019-03-11,726,Robert Snyder,Mbali,Laptop,5,1000
2023-04-23,552,Robert Sanders,Edmund,Portable Speaker,4,230
2022-04-24,681,Brett Jackson,Zolile,Drone,3,1300
2022-04-16,128,Joshua Holder,James,Robot Vacuum Cleaner,3,250
2023-12-09,335,Samuel Campbell,Mbali,Wireless Earbuds,5,200
2020-07-29,431,Anthony Johnston,Mbali,Headphones,5,50
2022-12-18,416,Robert Solis,Andiswa,Laptop,3,1000
2020-01-01,441,Jennifer Conley,Zolile,Smart TV,4,700
2019-06-01,219,Jennifer Rodriguez,Andiswa,Printer,2,300
2024-01-20,291,Jennifer Tucker,Andiswa,Drone,3,1300
2021-11-08,975,Cathy Vasquez,Edmund,Wireless Earbuds,2,200
2022-01-30,151,Alexandria Armstrong,Buhari,,2,
2020-12-02,626,Dean Hamilton,Segun,,4,
2024-01-28,590,Mr. Brandon Johnson,Edmund,E-reader,4,120
2021-01-16,152,Brian Anderson,Buhari,Desktop Computer,4,1200
2021-09-09,824,Andrew Harris,Andiswa,Smart TV,1,700
2023-08-26,940,Joshua Davis,Segun,Smart TV,2,700
2023-09-17,684,Ashley Franco,Andiswa,Bluetooth Keyboard,5,100
2020-12-30,774,Johnathan Pope,Nolo,Drone,5,1300
2019-02-05,929,David Gray,Andiswa,Smart TV,2,700
2023-10-01,487,Mary Smith,Nolo,Gaming Console,2,987
2024-01-23,284,Mr. Joshua Fritz,Andiswa,Printer,2,300
2019-12-23,80,Carlos Petty,James,Fitness Tracker,3,430
2022-02-27,915,Steven Brooks,Andiswa,Tablet,2,900
2023-10-14,393,Jared Mann,Oludare,Digital Camera,1,780
2022-04-04,339,Thomas Simmons,Andiswa,Smart TV,4,700
2020-08-05,853,Dustin Pennington,Mbali,E-reader,5,120
2021-11-17,21,Jim Burns,Mbali,Printer,1,300
2022-08-31,306,David Banks,Mbali,External Hard Drive,5,120
2020-05-08,560,Brad Jackson,Edmund,Printer,2,300
2021-07-08,498,Doris Freeman MD,Buhari,E-reader,3,120
2019-10-11,818,Anthony White,Mbali,,4,
2021-04-16,638,Ashley Hernandez,Andiswa,Laptop,4,1000
2022-09-04,679,James Buck,Buhari,Tablet,4,900
2019-09-27,473,Yvonne Stephens,Oludare,Smartphone,3,760
2023-10-26,217,Mary Johnson,Nolo,VR Headset,3,500
2020-09-20,389,Steven Henry,James,External Hard Drive,3,120
2019-08-15,482,Joshua Johnston,Buhari,Bluetooth Keyboard,1,100
2023-10-05,359,Margaret Wells,Edmund,Tablet,1,900
2022-06-03,973,John Allen,Edmund,Digital Camera,1,780
2019-02-05,245,Briana Brown,Oludare,Printer,1,300
2020-08-26,224,Kara Berry,Nolo,Gaming Console,3,987
2019-06-28,622,Tanya Palmer,Segun,Headphones,3,50
2021-12-22,27,Mark Ferguson,James,Smart Home Hub,4,200
2020-01-14,733,Judy Lee,Edmund,Tablet,5,900
2022-11-26,643,Audrey Smith,Edmund,Desktop Computer,3,1200
2020-11-04,615,Michael Jenkins,Segun,Smart Home Hub,1,200
2020-04-30,439,Keith Bauer,Zolile,Tablet,5,900
2021-06-05,13,Cameron Johnson,Mbali,Printer,1,300
2020-02-25,371,Travis Stanley,Nolo,Smartwatch,4,200
2021-01-26,535,James Cline,James,Drone,5,1300
2023-03-17,477,Robert Goodman,Mbali,Smart Home Hub,3,200
2021-08-26,252,Claudia Henry,Segun,Gaming Console,4,987
2020-01-25,476,Stephanie Schwartz,Mbali,VR Headset,1,500
2019-07-04,333,Anthony Baker,Oludare,Printer,2,300
2021-11-15,265,Anthony Barnett,Zolile,Gaming Console,5,987
2020-05-01,283,Todd Burns,Andiswa,Laptop,5,1000
2020-09-25,88,Donna Hardy,Edmund,External Hard Drive,4,120
2020-03-30,247,Jason Gates,Nolo,Printer,4,300
2019-05-13,96,Lauren Weaver,James,Fitness Tracker,4,430
2023-11-06,314,Kylie Warren,Zolile,Printer,5,300
2021-11-02,436,Anthony Lewis,Andiswa,VR Headset,3,500
2020-11-06,278,Kathleen Martin,James,Gaming Console,2,987
2019-05-04,198,Monica Torres,Zolile,Desktop Computer,5,1200
2021-09-29,707,Jamie Myers,Oludare,Digital Camera,2,780
2020-04-09,284,Mr. Joshua Fritz,Andiswa,Drone,3,1300
2021-07-03,853,Dustin Pennington,Edmund,Wireless Earbuds,2,200
2023-11-14,310,Lisa Smith,Buhari,Bluetooth Keyboard,2,100
2020-01-14,998,Tina James,Buhari,Bluetooth Keyboard,3,100
2021-01-22,130,Thomas Jenkins,Nolo,Desktop Computer,1,1200
2023-04-11,481,Jenna Collins,Nolo,Smart TV,3,700
2020-05-25,53,Mark Delgado,James,Printer,1,300
2024-01-13,411,Lauren Oliver,Nolo,Tablet,5,900
2023-01-17,55,Andrew Deleon,Oludare,Smartwatch,5,200
2019-03-16,88,Donna Hardy,Edmund,Desktop Computer,5,1200
2022-02-12,621,Megan Freeman,Edmund,Robot Vacuum Cleaner,4,250
2022-01-20,454,Sarah Clark,James,Smart Home Hub,4,200
2019-03-26,636,Tiffany Cain,Buhari,Drone,1,1300
2023-02-12,213,Matthew Mann,Edmund,Gaming Console,1,987
2021-11-28,178,Patricia Rodriguez,Andiswa,Tablet,2,900
2023-08-22,462,Michael Frost,Nolo,Wireless Earbuds,1,200
2022-08-22,724,Dana Graham,James,Smart TV,1,700
2022-08-21,947,Julia Lawrence,James,Smart Home Hub,2,200
2023-07-12,558,Dana Smith,Edmund,Smartwatch,3,200
2023-12-22,74,Steven Dickerson,Buhari,Headphones,3,50
2022-08-14,845,Samantha Smith,James,Smart TV,1,700
2019-12-26,312,Danielle Johnson,Mbali,Gaming Console,5,987
2019-10-01,449,Nicholas Smith,Segun,Drone,1,1300
2023-08-17,753,Edward Poole,Zolile,Drone,3,1300
2023-10-10,235,Derrick Clark,Buhari,Gaming Console,5,987
2020-02-10,775,Mary Grimes,Oludare,Printer,5,300
2020-02-23,939,George Foster,James,Headphones,5,50
2023-05-09,834,Cynthia Goodwin,Nolo,Tablet,4,900
2021-06-05,342,Sheila Nelson,Zolile,Desktop Computer,2,1200
2021-11-23,711,Paul Alexander,Nolo,Wireless Earbuds,4,200
2022-03-20,564,Kimberly Bowman,Buhari,Smart TV,1,700
2019-06-16,332,Courtney Chaney,Segun,E-reader,5,120
2023-08-09,2,Danielle Olson,Andiswa,Smart TV,4,700
2020-01-07,531,Tammy Evans,Zolile,Drone,4,1300
2021-07-04,779,Kelsey Garcia,Buhari,Digital Camera,3,780
2023-12-28,950,Mrs. Cindy Smith,James,Smart TV,4,700
2019-06-28,997,Alicia Collins,Edmund,Headphones,3,50
2023-05-15,566,Benjamin Perez,Mbali,Tablet,2,900
2021-02-27,935,Gregg Martinez,Segun,Smart TV,1,700
2023-01-17,158,Kayla Lin,Nolo,Wireless Earbuds,5,200
2020-06-15,426,Ryan Herrera,Nolo,Printer,2,300
2019-09-06,149,Frank Payne,Mbali,Digital Camera,5,780
2019-12-26,901,Joseph Gillespie,Oludare,Tablet,3,900
2023-01-24,875,Hannah Jones,Mbali,VR Headset,5,500
2022-04-15,3,Becky Williamson,James,Wireless Earbuds,5,200
2020-09-17,676,Karen Dunn,Nolo,Smartwatch,4,200
2023-08-04,354,Mr. Adam Campbell,Zolile,Bluetooth Keyboard,5,100
2023-12-13,956,Rebecca Castillo,Zolile,Digital Camera,2,780
2023-03-14,240,Erika Hughes,Mbali,Smartphone,3,760
2021-08-15,723,Miss Beth Odom MD,Mbali,E-reader,2,120
2023-06-27,38,Randall Duarte,Oludare,Robot Vacuum Cleaner,5,250
2021-09-20,103,Zachary Ruiz,Nolo,Desktop Computer,5,1200
2023-12-24,16,Jacob Stanley,Oludare,External Hard Drive,2,120
2023-09-23,801,Amber Wallace,James,VR Headset,5,500
2022-06-23,666,Jonathan Vazquez,Segun,VR Headset,5,500
2023-04-20,325,David Hawkins,Nolo,Bluetooth Keyboard,1,100
2022-06-05,241,Heather Wade,James,Fitness Tracker,1,430
2020-09-05,101,Mrs. Lauren Martin,Segun,Smart TV,2,700
2021-07-28,926,Melissa Carter,Buhari,Smartphone,3,760
2020-11-18,301,Haley Schaefer,Zolile,Portable Speaker,4,230
2019-07-29,544,Andre Jones,Mbali,Smart Home Hub,2,200
2020-03-23,81,Jenna Fox,Mbali,Drone,2,1300
2021-07-12,598,Emma Smith,Oludare,Fitness Tracker,4,430
2021-09-02,471,Allen Burns,James,Laptop,4,1000
2023-09-10,694,Adam Clark,Andiswa,Headphones,1,50
2023-09-11,354,Mr. Adam Campbell,James,External Hard Drive,3,120
2020-07-22,310,Lisa Smith,Edmund,E-reader,4,120
2021-08-07,391,Samantha Mendez,Zolile,Smart Home Hub,3,200
2021-05-23,303,Joseph Scott MD,Buhari,E-reader,3,120
2021-04-15,886,Laura Gray,Buhari,Drone,4,1300
2021-09-17,925,Laura Smith,James,Fitness Tracker,5,430
2022-08-10,225,Beth Ware,Edmund,Drone,3,1300
2019-02-24,739,Destiny James,Oludare,Desktop Computer,1,1200
2023-03-23,452,Jessica Miller,Buhari,Smart Home Hub,3,200
2019-08-09,93,Amber Miles,James,VR Headset,4,500
2020-04-11,136,Karen Chen,Andiswa,Portable Speaker,5,230
2019-08-28,280,David Mitchell,Oludare,Gaming Console,4,987
2021-04-27,303,Joseph Scott MD,Zolile,Desktop Computer,4,1200
2019-09-13,145,Tracey Alexander,Edmund,E-reader,5,120
2021-08-11,810,Bryan Campos,Mbali,Laptop,3,1000
2019-06-10,466,Lauren Allen,Zolile,Gaming Console,5,987
2019-02-02,654,Tammy Meyer,Zolile,Desktop Computer,2,1200
2022-03-26,635,Raymond Clark,Andiswa,VR Headset,5,500
2023-12-05,65,David Simmons,Nolo,Wireless Earbuds,4,200
2022-08-22,47,Dr. Wendy Garcia DVM,Buhari,Wireless Earbuds,4,200
2021-11-25,241,Heather Wade,Andiswa,Smartwatch,4,200
2022-02-20,687,Christina Herrera,Andiswa,External Hard Drive,5,120
2021-06-13,159,Megan Daniels,Mbali,Desktop Computer,4,1200
2019-02-18,962,Jeff Lewis,James,Smartphone,3,760
2019-02-24,456,Timothy Wade,Edmund,Portable Speaker,1,230
2019-05-23,377,Kevin Howard,Andiswa,Portable Speaker,1,230
2023-05-10,195,Jamie Hudson,Segun,Smart TV,1,700
2021-05-21,658,Kelsey Perez,Buhari,Smartphone,3,760
2021-12-16,129,Mary Scott,Edmund,Tablet,5,900
2021-04-16,222,Matthew Novak,Edmund,VR Headset,2,500
2022-06-13,611,Jeffrey Mitchell,Buhari,Gaming Console,2,987
2020-11-22,554,Julie Mueller,James,Headphones,1,50
2020-09-17,27,Mark Ferguson,Oludare,Laptop,3,1000
2023-06-25,244,William Potts,Zolile,Laptop,2,1000
2021-08-01,130,Thomas Jenkins,Mbali,Robot Vacuum Cleaner,1,250
2021-11-29,488,Joel Nunez,Nolo,Portable Speaker,5,230
2019-07-20,463,Kristina Mcclure,Andiswa,Fitness Tracker,5,430
2020-01-11,803,Lisa Calderon,Andiswa,Wireless Earbuds,4,200
2019-02-22,32,Samantha Farley DVM,Buhari,Printer,4,300
2019-04-25,111,Melissa Hall,Nolo,Smart TV,1,700
2022-11-22,330,Kyle Neal,Oludare,Tablet,2,900
2021-11-11,649,Robert Ruiz,Andiswa,VR Headset,4,500
2021-09-18,544,Andre Jones,James,Smart TV,5,700
2022-05-22,102,Mr. Scott Morales,Segun,Bluetooth Keyboard,2,100
2020-03-01,910,Isabella Santos,Edmund,External Hard Drive,3,120
2022-05-01,409,Michael Galloway,Mbali,Desktop Computer,3,1200
2019-08-27,682,James Michael,James,Portable Speaker,2,230
2020-01-29,486,Adam Ruiz,Segun,Tablet,1,900
2020-12-03,99,Matthew Zavala,Zolile,Smartwatch,5,200
2023-09-21,980,Penny Peterson,Andiswa,Bluetooth Keyboard,3,100
2020-11-28,421,Melissa Phillips MD,Zolile,External Hard Drive,1,120
2021-10-03,615,Michael Jenkins,James,Portable Speaker,1,230
2020-09-18,218,Justin Perkins,Oludare,Printer,2,300
2022-07-13,359,Margaret Wells,Andiswa,Portable Speaker,1,230
2019-09-19,588,Susan Zimmerman,Edmund,External Hard Drive,5,120
2019-04-29,839,David Jacobs,Andiswa,Laptop,5,1000
2023-10-25,850,Scott Nichols,James,Laptop,2,1000
2023-07-25,781,Kirsten Taylor,James,VR Headset,3,500
2023-07-31,891,Priscilla Skinner MD,Oludare,Smart Home Hub,4,200
2023-09-29,759,John Hanson,Buhari,Tablet,5,900
2023-06-12,430,Donna Blanchard,Nolo,VR Headset,2,500
2020-09-09,739,Destiny James,Zolile,Smart Home Hub,5,200
2023-12-07,54,Maurice Carlson,Oludare,Headphones,5,50
2023-07-06,84,Sherry Cochran,James,Smart TV,4,700
2021-07-31,453,Whitney Smith,Mbali,Gaming Console,2,987
2023-02-24,117,Matthew Rodriguez,Zolile,External Hard Drive,1,120
2020-01-16,695,Michael Palmer,Nolo,Robot Vacuum Cleaner,3,250
2022-11-04,405,Jose Pruitt,Buhari,Laptop,2,1000
2021-03-22,217,Mary Johnson,Oludare,Gaming Console,3,987
2022-10-15,8,Larry Barnett III,Nolo,External Hard Drive,2,120
2020-09-08,546,Veronica Case,Edmund,Robot Vacuum Cleaner,5,250
2020-09-13,826,John Lester,Zolile,Tablet,4,900
2019-04-25,44,Tracy Hampton,Mbali,Laptop,4,1000
2023-11-24,883,Marvin Macdonald,Zolile,Smart Home Hub,4,200
2023-03-19,727,Timothy Hampton,Mbali,Wireless Earbuds,1,200
2021-02-02,990,Wanda Stephens,Zolile,Headphones,5,50
2021-05-01,707,Jamie Myers,Zolile,Tablet,4,900
2019-10-21,250,Jennifer Haynes,Mbali,Smart Home Hub,4,200
2023-11-03,406,Jaime Hernandez,James,VR Headset,2,500
2022-09-17,173,Cole Nelson,Segun,Robot Vacuum Cleaner,1,250
2020-03-27,199,Gabriella Richardson,Zolile,Portable Speaker,2,230
2019-11-24,150,Christina Fisher,James,Digital Camera,2,780
2023-08-19,779,Kelsey Garcia,Segun,Headphones,4,50
2023-10-30,578,Sharon Butler,Nolo,Smart Home Hub,5,200
2022-02-03,995,Deanna Palmer,Zolile,Smartwatch,4,200
2023-07-25,453,Whitney Smith,James,Gaming Console,5,987
2022-05-22,520,Harold Bennett,Segun,Wireless Earbuds,4,200
2020-12-21,59,Nicholas Andrade,Zolile,Wireless Earbuds,1,200
2020-08-26,876,Dawn Sullivan,Segun,Drone,5,1300
2023-12-02,474,John Ford,Andiswa,Smartphone,4,760
2020-02-20,586,Cheryl Richardson,Edmund,VR Headset,5,500
2020-04-02,155,Christine Brown,Buhari,Smart TV,1,700
2023-07-27,858,Jacqueline Johnson,Zolile,Tablet,5,900
2020-04-03,41,Heather Wood,Edmund,Smart TV,4,700
2019-08-13,625,Jennifer Lewis,Oludare,Portable Speaker,3,230
2022-01-29,397,Felicia Johnson,Mbali,VR Headset,5,500
2020-08-30,647,Christopher Miller,Zolile,Tablet,3,900
2023-10-13,695,Michael Palmer,Mbali,Wireless Earbuds,3,200
2021-04-17,673,Sarah Gray,Oludare,VR Headset,1,500
2020-08-28,145,Tracey Alexander,Zolile,Wireless Earbuds,4,200
2023-12-14,726,Robert Snyder,Segun,Wireless Earbuds,5,200
2020-12-29,811,Rebecca Miller,Zolile,Smartwatch,5,200
2023-07-05,687,Christina Herrera,Mbali,Robot Vacuum Cleaner,3,250
2023-06-23,317,Ryan Ryan,Oludare,Digital Camera,3,780
2019-12-08,498,Doris Freeman MD,Edmund,Fitness Tracker,2,430
2019-04-13,303,Joseph Scott MD,Segun,Robot Vacuum Cleaner,5,250
2019-11-12,905,Danny Morgan,Andiswa,Smartphone,3,760
2021-07-08,633,Elizabeth Lee,Oludare,Drone,4,1300
2019-05-27,186,Samuel Johnson,Oludare,Smart TV,1,700
2020-05-05,693,Andrea Burke,Edmund,Smart TV,5,700
2020-06-25,767,Drew Bryant,Nolo,Fitness Tracker,5,430
2020-03-25,989,Jeffrey Schaefer,Nolo,Digital Camera,3,780
2022-08-29,585,Matthew Montgomery,Nolo,Smart TV,3,700
2019-06-10,515,Joseph Thornton,Andiswa,External Hard Drive,2,120
2023-09-27,821,Martin Burke,Oludare,Gaming Console,1,987
2019-12-19,896,Mary Rose,Zolile,Bluetooth Keyboard,1,100
2020-06-12,529,Veronica Cervantes,Segun,Wireless Earbuds,1,200
2023-12-25,280,David Mitchell,Nolo,Robot Vacuum Cleaner,2,250
2021-11-02,94,Jeremy Wilson,Edmund,Smart TV,3,700
2023-10-22,425,Roger Henry,Buhari,E-reader,5,120
2021-11-23,396,Kari Cunningham,Segun,Portable Speaker,2,230
2021-12-27,954,Shelley Wright,Segun,VR Headset,2,500
2022-02-25,294,Rebecca Mcintyre,Nolo,Smartwatch,4,200
2022-11-11,6,Eric Martinez,Segun,Laptop,3,1000
2023-03-18,154,Erica Crawford,Andiswa,Drone,5,1300
2022-11-13,795,Tammy Park,James,Fitness Tracker,3,430
2021-10-24,245,Briana Brown,Mbali,Drone,4,1300
2020-01-21,857,William Mcpherson,Nolo,Drone,5,1300
2020-05-03,528,Lisa Mccormick,Edmund,Smartwatch,3,200
2021-04-23,630,Mitchell Pearson,Zolile,Fitness Tracker,5,430
2020-05-21,681,Brett Jackson,Segun,Robot Vacuum Cleaner,3,250
2019-08-07,539,Steven Chaney,Andiswa,Robot Vacuum Cleaner,5,250
2019-05-03,400,Steven Patel,Nolo,Smartphone,4,760
2022-02-23,260,Johnny Martin,Buhari,Portable Speaker,1,230
2020-06-15,751,Jacob Swanson,Segun,Smart Home Hub,3,200
2021-12-02,361,Samantha Hopkins,Andiswa,VR Headset,2,500
2023-05-06,702,John Austin,Nolo,Printer,2,300
2023-04-02,65,David Simmons,Nolo,Smartphone,3,760
2023-04-10,811,Rebecca Miller,Edmund,Smartphone,3,760
2022-04-19,528,Lisa Mccormick,Mbali,Bluetooth Keyboard,4,100
2021-12-25,772,Brenda Maldonado,Edmund,Wireless Earbuds,3,200
2023-12-03,49,Christopher Hanson,Zolile,Gaming Console,1,987
2021-06-12,448,Carrie Vang,Mbali,Smart TV,4,700
2021-01-12,192,Richard Reed,Nolo,Printer,3,300
2023-06-13,532,Sabrina Abbott,James,Tablet,4,900
2023-11-30,617,Jeffrey Rogers,Oludare,Bluetooth Keyboard,3,100
2023-12-23,82,Mr. Brandon Powell,Zolile,Wireless Earbuds,3,200
2023-09-16,735,Alice Jackson,Mbali,Headphones,4,50
2022-06-18,44,Tracy Hampton,Zolile,Drone,4,1300
2023-03-04,811,Rebecca Miller,Buhari,Tablet,4,900
2021-11-24,821,Martin Burke,Oludare,Laptop,2,1000
2021-06-23,695,Michael Palmer,Nolo,Smartphone,2,760
2021-12-28,798,Rachel Drake,Zolile,Portable Speaker,4,230
2023-10-25,34,Levi Perry,Oludare,Smart TV,3,700
2019-12-26,782,Scott Mccoy,Segun,Smart Home Hub,2,200
2021-03-19,408,Monica Jenkins MD,Zolile,Gaming Console,2,987
2019-02-19,27,Mark Ferguson,Oludare,Printer,5,300
2021-03-12,576,Jeremy Morrison,Segun,Gaming Console,3,987
2019-09-23,220,Mallory Zuniga DVM,James,Printer,2,300
2020-11-19,874,Manuel Mitchell,Segun,Smart TV,2,700
2021-11-20,456,Timothy Wade,Segun,VR Headset,3,500
2020-06-08,564,Kimberly Bowman,Andiswa,Wireless Earbuds,3,200
2022-04-10,729,Aimee Summers,Oludare,Portable Speaker,5,230
2019-10-05,206,Melissa Pitts,Oludare,Fitness Tracker,4,430
2019-08-12,568,Stephanie Hudson,Zolile,Smart TV,5,700
2020-12-02,906,Michael Meyer,Segun,Tablet,3,900
2021-02-27,735,Alice Jackson,Nolo,Robot Vacuum Cleaner,4,250
2022-12-25,844,Laura Lamb,Segun,Smartwatch,3,200
2023-05-24,461,Anthony Duncan,Nolo,Robot Vacuum Cleaner,3,250
2023-03-26,849,Robert Zavala,Andiswa,Smart Home Hub,2,200
2022-08-11,133,Julia Ward,Mbali,Robot Vacuum Cleaner,1,250
2019-03-04,531,Tammy Evans,Oludare,Wireless Earbuds,2,200
2019-11-21,958,Shannon Arias,Edmund,Portable Speaker,5,230
2022-01-20,867,Shannon Cruz,Segun,Gaming Console,2,987
2021-08-22,565,Marie Walker,James,Smartwatch,3,200
2020-08-15,96,Lauren Weaver,Andiswa,Headphones,5,50
2023-04-12,158,Kayla Lin,Oludare,Drone,5,1300
2020-08-29,947,Julia Lawrence,Buhari,Laptop,1,1000
2023-11-24,657,Margaret King,James,Digital Camera,5,780
2021-10-10,655,Scott Perez,Buhari,Printer,5,300
2022-03-27,980,Penny Peterson,James,Printer,2,300
2023-07-05,702,John Austin,Mbali,Wireless Earbuds,4,200
2023-05-04,62,Michael Johnson,Oludare,Smart TV,4,700
2020-06-22,209,Sandra Yates,Zolile,Drone,2,1300
2022-02-12,736,Devin Daniels,Zolile,Portable Speaker,4,230
2020-12-15,380,Joseph Johnson,Andiswa,Bluetooth Keyboard,1,100
2020-06-04,478,Emily Wong,Segun,Gaming Console,4,987
2019-02-17,100,Frank Fischer,Buhari,Wireless Earbuds,4,200
2023-11-23,429,Amber Mitchell,Edmund,Headphones,3,50
2023-10-14,739,Destiny James,Zolile,Digital Camera,2,780
2022-10-03,528,Lisa Mccormick,Nolo,Printer,3,300
2019-02-14,93,Amber Miles,Mbali,Robot Vacuum Cleaner,4,250
